comment	myLabel
早睡的人 完美的避开每晚猝不及防的情绪上涌和辗转反侧	0
一年前割腕的时候 就该割得深一点 再深一点 这样就不会有今天 也不会有以后	9
走啊，约死吧	6
最近的工作压力太大，感觉好像快要崩溃了。	0
我有很强烈的死的冲动，生活如此无味，不知道该如何面对，也许离开会是一个解脱吧。	5
已经准备好明早的烧炭，自由和平静就在片刻之间。善良的人们，我将离你们而去，不必难过，这是我选择的解脱。	10
现实世界如此残酷，我确实无力再应对了。	1
有的时候我就在想，我得活着，我得活着，怎么着我也得把命留着，我太怕死了。我还有爸妈，他们爱我，我不能死，我也怕死，割腕太疼了，车祸也是，我住了一个月的院才活下来，我怎么能死呢，我一定要活着	3
我恨我自己 我不爱这个世界 我就想去死	4
想写遗书发现啥也没有 哈哈	6
水逆真心让人难受，心情真的很糟糕，但是我知道一定要坚持住，明天会更好。	0
已经默默退群了，两周后就去见你了走饭，不用再担心我还会矫情刷存在感了。	8
我想逃离这个世界	4
我也用安眠药自杀 没有成功 结果我断片了	9
我害怕的是所有人都没钻入我的内心，我希望脱离这种状态，我想挣扎。	2
喝完这瓶酒，看看世界是否真的有尽头。	10
我以前不是这样的，现在却变得越来越让人讨厌，今天发生的事情让我彻底讨厌上了自己，讨厌这个世界。真希望爸妈从小到大打我骂我让我也讨厌他们，这样我就可以没有任何牵挂离开这个世界了，可是我永远放不下他们，为了他们我也要好好活下去。	3
不善言辞，想知道的都已经知道了，我准备晚上结束了，跳楼结束痛苦。	10
从去年开始我已经计划此事，每天盼着今年冬天的到来，那时我就能挣脱痛楚了。	8
想死 在准备死	10
兄弟，割腕死不了，还很痛的	0
眼看周围的人一天天过得不好，心里真的好难受，不知道我能做什么来帮助他们。	0
看完你的留言后，我决定提早结束这一切痛苦，希望我们在那边还能有机会相见。	8
我想跳楼呀 真的纵身一跃 什么都没有。生命停止了 痛苦也是	7
真心求死有没有一起烧炭的呀找个伴。	7
生活真的好累，压力好大，我也好想歇一歇。	1
我也有亲人离我而去，我也很伤心，但我没有倒下，因为我知道生活还在。	0
真的感觉好难过，但是再难也要坚持住，世界没有过不去的坎，一定要相信自己。	0
想死掉	4
有房间吗？一起死	6
不知道还能撑多久，特别累，我也好想放手一切离开这个世界	5
走饭，每个人都是有血有肉的，都会有疼痛的感觉，我很难过 但是又怕说了什么话伤了父母。很想消失 不去想那么多， 让那些烦人的事 烦人的人 都见鬼去吧。我不能控制他们，但是我可以掌控我自己。 想要去死一死，想要消失。	4
想过很多种自己最终的死法。本来想服毒安乐死，但是觉得还是应该捐献器官什么的，直接服毒会损害内脏就浪费了。毕竟，生而为人，捐献器官可能是我唯一能做的一件稍微有点价值的事，并且真的如愿以偿的不费任何力气，不花任何代价。	6
所以说我应该是烧炭还是跳楼 跳楼很疼 烧炭的话还要买碳	7
难过，情绪低落，但是还没到那种绝望的程度吧，生活毕竟还是有值得期待的事情存在。	0
被生活逼到了绝境，我真的感到无比的压抑和痛苦，好想死，真的好想死。	5
走饭啊，你见到今天长空栈道跳下去的那个男孩子了么？我也松开过绳索，可是我不敢跳。走饭啊，你说跳下去的那个男孩子会开心会解脱嘛…	3
我想离开一直让我痛苦的公司，去新疆走走。	2
我已经准备好离开了，就等新的一年到来，我想在新的一年带来新的希望的时候结束所有的痛苦。	8
我有个约定，下个月的十五，我可能会和你一样选择离开。	8
最近我逐渐变得不爱说话，不爱和人接触，我已经开始决定我的离世日期了，大概在下一个月。	8
刚在知乎找无痛死的方法，偶然看到你啦，好奇怪我难过了这么多年竟然突然有一瞬间不想死了，这么多人都被生活折磨着，还有一大部分藏在心里没有说出来，大家都很难过大家都好好活着的，我也要加油噢，这里的129万朋友也要加油啦	4
生活的虚无让我痛苦不堪，我决定辞去工作，去湖南农田种植有机蔬菜。	2
没事没事不过是想离开世界了哈哈?	4
饭，自杀被救朋友告诉我你的故事，原来差一点我们就在同一个世界了。朋友眼里无比乐观的我，自信心满满的我，好像被这个世界开玩笑了一样，挚友离世 喜欢了我十几年的男生自杀，兄长被拘。所有的自信，不服输，上进努力，好像都没有意义了，朋友问我不能好好活下去吗？我不知道，真的不知道。	9
今夜坠楼，紫衣为我垂，别问归期，无期[悲][悲]	10
我一直都放不下她我不知道什么时候才能忘记。我好想离开这个世界。爸爸妈妈我也不管了。我好想解脱	5
饭，我明后天就可能会结束自己的人生了，一个人在外面真的是太难了。	9
奶奶，我想和你一起去。我不能接受以后的几十年我要一个人孤独的活下去，是真的接受不了，杀了我吧	4
我到底什么时候才能死武汉约死越快越好	6
走饭，他们都逼着我死，上吊会不会吓到别人，喝100片安眠药可以吗	7
最近好像很流行在景区纵身一跃，像鸟儿一样，不过虽然只能享受短暂的飞翔，但是最后那一刻肯定很快且没有感觉。对于溺水的人而言吧，那最后的纵身一跃也是解药啊。我要存些路费，想去看一看祖国的大好河山。	0
一起离开吗？我在湖南常德。	6
