comment	myLabel
早睡的人 完美的避开每晚猝不及防的情绪上涌和辗转反侧	0
我真的很想哭一哭，但是哭有什么用呢？我也想选择离开这个世界	4
如果大人生小孩前都能问问小孩愿不愿意被生下来该有多好 我一定选择不要生我 20多年来 快乐只有一瞬间 剩下的都是大大小小无边的痛苦 我是不是上辈子犯了什么错 要被生下来承受生活的折磨 想吃掉一整瓶安眠药在属于自己的房间里烧炭平静的死去 死了我不麻烦别人 但是却又不办不到才是最痛苦的	7
等待我的好像只有死亡。我以前想用一种完美的自杀方式离开这个世界，直到最近，我好像想到了，并且它不一定是自杀，不是自杀的自杀，够完美了吧	5
那也要拉着你们两一起死	6
我刚刚跳河了，遗书什么的我发出去了，被看鱼塘叔叔就回来了。好累，我还是死不成，可是活着的盼头是什么呢	9
离开世界比离开自己好一点	1
烧炭还是上吊	6
我不知道我是怎么了，我把自己藏起来，可是我想做我自己的时候，所有人都不接受，今天看了跳崖女孩的遗书，字字句句都如我，我真的不怕死，只是我怕家人伤心，我已经撑了，5年了，我不知道还能撑多久，等我！	2
现在的状态变得很奇怪以前虽然抑郁严重但是不会失眠想睡就能睡着但那时的心理状态很差可以从朋友来了又走了就开始失眠以前睡十几个小时都可以现在睡了四个小时就醒了，心理状态也变得很奇怪就好像感觉不到自己的心情整个人却又很累的感觉自杀的念头一直都有现在却没实施过，这样也不知道是好是坏。	4
明明很想死，却有想活着。每天都在活与死之间犹豫，但我知道，死赢了大半。唯一能救回我的是我的老公，可我不知道如何能收走他的心，太痛苦太痛苦了，孩子一周了，我要什么时候死，他们姐弟俩才会不难过呢？我撑不下去了，我想试割腕，	9
想死两天 好难过	5
你带我离开这个世界吧 这个世间不值得	4
饭。好想她能回来。虽然现在的我一无所有，但是我已经计划好了。昨天哀求了一天未能如愿。不想再找理由和动力了，好累。看着她的绝情，或许她不会那么伤心。我很害怕去一个没有她的世界，好想见到她。饭，给我点勇气。就是死一死没什么大不了对不。煎熬和挣扎太难受。我们相见的时候我能抱抱你吗。	3
我前几天就是 想去自杀 脑袋的第一瞬间想到的就是 溺水身亡	7
还不能死 因为他们说未满18岁死了都没有墓地的 所以啊 我要好好活着 等挣够棺材本了再走	6
决定去死很艰难，但活着也不好受	3
我真的觉得好笑 今天遇到点事情嘴里喊着要跳楼 明天遇到开心的事情 就想振作了好好活着了。我真觉得对于我们听到真是嘲讽。	0
千万不要，再想想，再想想。今早看到峨眉山女孩的遗书时我就想她是不是来过这里？会不会也来过这里？然后，在我们不知道的时候，在这135万评论里，与我，与我们擦肩而过，一走就是再不见……	0
兄弟，割腕死不了，还很痛的	0
有谁愿意跟我一起离开吗	6
有人要一起死的嘛	6
手脚发抖 呼吸困难 内心焦虑 我太不爱这个世界了 我只想死一死	4
想割腕自杀还是别想了 得把动脉割断 而且成功率特别低的 总知如果没有打算把手腕割下来的决心是不会死的	6
有约烧炭自杀的吗？	7
昨天吞了80多颗药想自杀 快晕的时候被发现了 送去洗胃 生不如死 还不如直接死了算了	9
跳楼死得很难看 所以还是好好活着吧	3
饭！我也好想死一死阿。25岁了，工作身心疲惫，刚离职，卡里一千三，没有男朋友没有关系很好的人。死可能是一种解脱吧！	4
我觉得你现在状态应该和我几个月前差不多，我那时候也觉得人生没啥希望了，所有的负面情绪交织在一起，遗书都写好了，可是都过来了，我也不知道你是因为家庭的原因还是什么，总之你把这段挺过去之后，会发现人生很美好的	3
唉，该怎么办呢？又难受了，可是怎么办呢？要拜托一切，死最好吗？我之前还劝别人，如果非死不可，不如就离开去没有人认识的地方。现在才觉得，这种安慰太残忍了，对不起。重新开始真的是需要很大的勇气啊，而且“心”也是不由自主的。	3
到底要再经历过多少次难过，才能攒足离开人世的勇气呢？希望这一天早点到来吧	3
既然狠不下心那就再撑一撑吧，我曾经也想过跳楼，但是还是下来了，当时想了好久好久。	3
写了很长很长的遗书，如果发出去了就真的死掉了。就是今天我特别想死。	10
当服务员半天，不想做了。想去跳楼。	7
我可能快认输了，真的快认输了，我知道压力都是我自己给的，可我没办法，我真的没有办法，我真的害怕，害怕有一天我也坚持不住了，害怕有一天我也离开这个世界了。饭，我也累了。	3
有没有人可以当我的树洞啊，我好想去死	5
即使在冰天雪地的人间是否能生存，在茫茫人海中沉沦，隐藏孤单的心，拥抱是否能够取暖，死亡并非结束，而是在另一个世界重新开始，孤单，孤独，孤寂，无法理解，心底有一个声音在牵引这我，我的理智有限，我快控制不住这个恶魔了，他在一步一步的引导我去离开这个世界，	3
我不要再活着了 他们明年离开这里 就我自己一个了 我没有生存能力 我只有自己乖乖离开这个世界。	4
等上了高中我就去买把刀 希望自己更加死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉	8
我是女生 喜欢女生 也每天都能想起一个不喜欢的女生 因为她是我喜欢的人 我对象 喜欢的人 她打乱了我的生活 我每天活在痛苦里 我难受 也难过 也多么想去死一死 可是 我又不敢 害怕我付出的在我死后突然就变得重要起来 抓心捞肺 苦不堪言 极度抑郁	3
准备好胶带……烧炭的时候把安眠药喝下去……空间越小越好……一起？……	7
对了，饭饭我想起来我前几天看见一个视频，那哥哥在山崖攀岩时解开绳子跳下去了，这可是我15岁左右最喜欢的死法，我觉得不错，只不过找不到尸体，现在觉得开枪最好	7
今天特别衰，就想说19岁没谈过恋爱又怎样，能不能活到27岁还不一定呢，所以我还是一个人过活吧。啊！我应该没什么毛病，就是时常YY自己是怎么离开这个世界的，这样应该会好受一点，让自己不那么想死[太开心]	4
割腕	7
我想去死一死。	4
我觉得生活有点无聊，所以我想去死一死	4
自身都难保了，更不想让周围人担心我，跟着我一起，	3
其实我好希望有世界末日，这样我就可以不用为我的离开找理由，名正言顺的远离这个世界	4
不。我想和他一起去死的那个人，已经死了。	4
我以前不是这样的，现在却变得越来越让人讨厌，今天发生的事情让我彻底讨厌上了自己，讨厌这个世界。真希望爸妈从小到大打我骂我让我也讨厌他们，这样我就可以没有任何牵挂离开这个世界了，可是我永远放不下他们，为了他们我也要好好活下去。	3
我准备写遗书了	6
这个我也想过，没有房梁，你怎么操作的，我挂不上去。上吊做不到。我们老师还警告我们不要随便自杀，因为有人试过在宿舍自杀了，这样的。说影响别人，只是我知道在死之前都不会有人在乎那个人如何如何。	7
不是我想熬夜，我到希望24小时都睡着，这样也就不痛苦了，植发就算了，估计活不到那时候	2
没什么好说的了，就是已经很难受了，已经半年了就想好好的休息，想一直睡下去，母亲是不可能理解的了，找过的医生是个二流的没有什么用还更让我难受，已经没有动力了也几乎没多少意志了，但又怕，怕割腕那钻心的痛，怕安眠药那致命的痛苦。你看，我的组织的语言读起来怪怪的但你一定能懂我吧（求治疗）	3
可是她能让我好受一些呢	1
一千个一万个活下去的理由都抵不过自杀这一个念头 想死成了每晚睡前思考问题 怎么才能悄无声息的死去 不给任何人添麻烦 如果有一种办法让人抹去一个人的存在痕迹 那我就能大大方方的去死了 赴死就像赶赴一场约会	5
一样，割腕好疼	7
在楼顶想了很多种死去的方式	7
我希望痛苦是一种可以转移的东西 它可以是个挂件 是件衣服 是枚图腾 我会收集所有人的痛苦然后装进我的背包 然后我带着包跳进夏威夷的活火山 焚烧一切	7
我也想去死一死，没什么大不了[微笑]	4
再这样下去，我真的去跳楼了	7
上个手机被偷了 那个手机的备忘录里 一直存着我以防万一的遗书 它被偷那天 我很慌张 但我知道慌张无用 所以我看起来很淡定 新买的手机 我没有勇气又一次存下遗书	4
准备今天下午烧炭。现在忽然心情平静了	10
从武汉到西安再到鄂尔多斯！有没有人一起的，还可以看看大草原	0
跳楼最不痛苦	7
真的太难过了 想自杀 割自己总是好受一些 我该狠心一点的 太难过了	7
有没有一种死法，死了还可以保证器官都能捐献	6
我在死的边缘了 撑不下去了 我要过上跟别人一样的人生了。一个叔叔的女儿，在剑桥大学读书。我初中还是高中的时候，有一天突然听说那个女孩死了，自杀死了。她在她妈妈赶到的前一天就自杀死了。她好像才20出头吧。后面具体的我不知道了。她妈妈把她的尸体运回了中国？还是没有？我忘了。	5
想代替意外死亡的人去死	4
跳楼有人试过吗？	7
你总是想看看我手上的伤疤，我早就用护腕遮住了，你还痴心妄想劝我去做植皮手术，可是我只想告诉你，那是我死后才能给你看到的	7
把遗书写好了，死就是随时都可以发生的事了。	6
从小到大当父母省心的孩子当累了，能不能给我一次让他们省心的机会让我离开。前几年才知道自己有个姐姐，出生不久便夭折了，我哭了很久，终于知道父母头发为啥不到50便花白终于知道他们要孩子这么晚的原因。别人在12岁之前淘气，想着怎么开心而我想着怎么离开这个世界，有时会一个人哭没有理由，我还考	4
不想去医院不想吃药不想见任何人只想去死	5
为什么吐不出来呢喝了酒你知道多难受吗	2
没有太大感觉，只是很没有意思，我睡不着，很无聊，我才不会想去死一死，真的没有	1
去最远的海，一个人乘船到海上，割腕跳下去	7
香港金融危机有人烧炭，很多，那个比较靠谱？	7
想死又不敢死，真的好痛苦，谁能帮帮我吗	3
夏天对于我这个甲亢女孩真的很不友好 夏天和死我会选择死	3
跳楼的时候，你们起哄吧，	7
想死 在准备死	10
一起	6
我去跳楼啦 拜拜啦走饭。	10
跳海不是个好死法换个吧	6
从7楼跳下去会死吗	7
饭，他们都觉得我是神经病不正常的人，是啊融入不进这个奇怪世界，本就不属于我，上吊会不会好一点或者是安眠药，在撑到九月份吧，完成一个小心愿再离开，或许这个心愿也会被他们否定甚至骂我	8
我想到要离开这个世界就特别兴奋。这种兴奋让我莫名的伤感，它已经太久没出现了，在我今晚决定要走的时候它终于出现了。你看吧，其实抑郁症患者本就不属于这个世界[心][心][心]我要走啦，再见世界[鼓掌]	10
烧炭需要一个很小而且封闭的空间，应该需要大量的炭才可以吧。。	7
饭饭今天中元节啊你会不会来梦里把我带走我又听到我母亲的话了只不过这一次我没有上前揭穿我在角落里躲了好久好久我还录了音我真的很想她死啊这个女人什么都不相信我查出来的轻微抑郁也还是说我演戏真好我要是真能演戏我还会跟她呆着饭饭真的好难过啊好想先杀了她再死一死啊	4
跳楼的话会不会更直接	7
人山人海啊，人声喧哗啊，突然就想死掉了啊。	4
刚开始那几天我有想过我不想毁了她取而代之我只想抱着你一起去死现在反而觉得无所谓了反正罪都是我自己找的我就熬着吧	4
饭，此刻最想做的事情就是跟你一样死一死，感受下死亡的感觉，或许这样就不容易被影响吧[泪]	4
你们知道我为什么想去四川吗 因为我希望给我一场地震 我就能离开这个世界。	7
感谢您参与人间十六年游 现在可以去死了	10
饭饭 我觉得好累啊 所有人都不喜欢我 包括有血缘关系的那些人 他们认为我的存在是污点 是耻辱 朋友也不愿意和我接触觉得我怪里怪气 我说我想死可是没有人信 大家都在笑 大概觉得像我这样的人怯懦的连死都不敢吧 可是我这次真的有勇气离开	5
饭，终于可以回家了，和同学拼车，一路上我都没说话真的好蠢，她们都聊的热火朝天我根本不可能做到，不知道是不是太久不坐车的缘故心里一直范恶心想吐，好累啊，好想睡一觉	1
饭 我真的好难过啊 我不知道还能撑多久 要不是因为爸爸妈妈 我可能早就离开这个世界了 这段日子 所有的一切都向我砸过来 我也不知道压死骆驼的最后一根稻草在哪里 我只求在它压死我之前 能出现一件让我觉得生活是有意义的事情吧	3
我像是在做噩梦一样。。。隐隐约约听见我妈叫我 。因为浑身发冷，忍不住哭了。醒过来却对差点死掉这件事情一点害怕也没有。从那之后我就在想，生活实在过不下去的话，就用这个办法自杀吧。	3
不知道自己最近怎么了，总想从楼上跳下去，想拿刀切开自己的血管。我有自己爱的人，有牵挂，可是就是控制不住自己。我该怎么办？！！	9
好想离开这个世界 从头来过	4
走啊，约死吧	6
我要去死一下，生活太令人难过了，我受不了别人的眼光，对我就是玻璃心，讨厌周围的人，讨厌父母，我连自己都讨厌，我想离开，或者去死	4
饭，前天割腕，看着一直流的血，满了床，想着快能去你去的地方了，就充满了喜悦，晕过去后醒来躺在手术室里，我就知道，这一切又要继续了，饭，躺在病床上的我好痛苦。	9
如果放在现实里看，我一定是看起来最不想死的人。多阳光多好玩啊，这种人怎么会死呢？是不是搞错啦？可是我真是恨不得一家三口一起去死，这样谁都不会因为被剩下而难过了。	4
跳楼很惨	7
饭饭 你有写遗书吗 你是很冲动的走了还是理智的走了 你有想过你妈妈会怎么样 诸如此类这些的吗	0
