comment	myLabel
早睡的人 完美的避开每晚猝不及防的情绪上涌和辗转反侧	0
切入睡眠，完美[害羞]	10
躺下吃药。你不会死的。	0
我买了九点的机票 我去机场的路上会不会被滴滴司机杀了 不过我又不好看又不值得杀我 那我啥时候能勇敢的去死啊 整天想着死但我又怕死 真失败	3
当我打开微信时，一切都给了我建议，我不想一个接一个地接电话，我发了一圈朋友说我厌倦了睡觉。关掉电话。事实上，他们都不理解抑郁症，有些人仍然说我是懦夫。哦，我最大的错误是寄了遗书，下一次我死了，我就不会那么蠢了。我会默默地死去。	9
我濒临死亡，我无法忍受。我会和其他人过同样的生活。她是一个在剑桥大学学习的叔叔的女儿。当我在高中的时候，我突然听到那个女孩死了，有一天我自杀了。他在母亲来的前一天自杀了。他似乎只有大约20岁。我不知道具体的后来。他的母亲把他的尸体送回了中国？不是吗？哦，我忘了。	5
qq里有约死群 也不知道那些人怎么找到的 哎 活得很累	6
我站在阳台上，真想跳下去	10
我太可怕了，我现在真的想跳下去。	10
Rice，每次有人自杀，都会有一群人留言说“祝你好运”，并祝你在天堂幸福。但很明显，我内心感到非常轻蔑。谁会不说一个死后自杀的人的坏事呢。这个世界和这些人真的很恶心。	1
写一封很长的自杀信，如果寄出，她真的死了。今天我特别想死。	10
准备好胶带……烧炭的时候把安眠药喝下去……空间越小越好……一起？……	7
有一次，当我准备出去买一顿饭时，我自己哭了。我父亲看到我哭了，又一次责骂我。我应该被责骂。不是每个人都爱我。不是每个人都给了我生日。我上了厦门大学，坐了九个小时的高铁回家。这些天，我认为最好在回家前上几个月的大学。	2
可是我感觉跳楼真的好残忍啊 我有想过烧炭或者吃药又不知道什么剂量	6
我觉得很不舒服。我没有朋友，甚至我的家人都对我感到失望，觉得我一无所有	2
穿短袖的季节，还要上班，就不能割手了	6
你为晚餐写了遗书吗？你冲动或理性地离开了。你有没有想过你妈妈会发生什么？	0
我想去蹦极，我不需要任何人推我，让我跳，如果在那一刻，我不能忘记她，那我就去找她。	1
帮帮我，不要把我扔掉。我求你	2
我真的很想死。她几天没有回复微信，去上课了。我想死。我太累了。今天他问我是否想一起去宜家。我不知道该怎么说她。我总是不知道如何回答。我想死。	5
死亡准备死亡	10
我想离开我现在的位置，但本和我不知道我们能去哪里。更不幸的是，我已经失去了这么多年，却无法恢复。整个人都动不了，一天的哀悼，一天的哀悼，我不知道我会在哪一天死去。	2
其实我也想去死一死啊，但是小天使说我还不够资格到天堂里去，你就先帮我看看那个世界吧，我晚点到	4
我害怕的想哭 害怕的颤抖 如果事情越来越严重 真的可怕 一点点安全感都没有了 对这个世界感到绝望 ??? 打电话给他被骂 我的心在颤抖 谁也靠不住了	2
啊，我	0
我不想上她的课 要做的图也做不好 今天睡了一天 梦里在下大雨 同行的人一次次从高处跳下 砸断在金属雨棚上 没有死 跳下 没有死 醒来以后看到她发的东西 她也讨厌我吧 其实我还是最讨厌我自己了	5
即使在冰天雪地的人间是否能生存，在茫茫人海中沉沦，隐藏孤单的心，拥抱是否能够取暖，死亡并非结束，而是在另一个世界重新开始，孤单，孤独，孤寂，无法理解，心底有一个声音在牵引这我，我的理智有限，我快控制不住这个恶魔了，他在一步一步的引导我去离开这个世界，	3
我们什么时候会一起死去	6
我不知道他是否会和他的女朋友在他的包里放一把刀，因为担心他欺骗了我。无论如何，我想死，最好一起死，好吧，情人节在一切结束时，我很害怕，但我不想失去爱，我很便宜，他必须放弃我陪同我的提议，他不会放弃原因	8
我割腕有人看吗。	8
最近，像鸟一样跳遍整个风景区似乎很受欢迎，但尽管你只能享受短暂的飞行，但最后一刻应该是快速而没有感觉的。对于溺水的人来说，最后一次跳跃也是一种解毒剂。我必须节省一些旅行费用，我想看看祖国的大江大山。	0
我要跳楼，说再见，然后吃晚饭。	10
我真的很讨厌这个世界啊，我想离开这个家，为什么命运从来都不是公平的。我想重新选择我的人生啊。	3
我想要离开这个世界了……为什么要给我光 我很讨厌这里 为什么会变成这样 我甚至想掐死自己 我 我真的很不喜欢这里	4
你好，去年，2018-9-30，我在餐下发了一个微博，就在检查了情况后，谢谢你的关注，我很好。我很幸运没有得到几天前跳下来的女孩那样的结果，谢谢你的鼓励，一切都很平静。	0
我真的觉得很有趣。今天，我遇到一件事，大喊要跳楼。明天，当我遇到一些快乐的事情时，我想振作起来，好好生活。我真的认为我们听到这些是一种嘲弄。	0
无法入睡	0
我受不了了，无论世界有多美好，我都不想留下来，现在谁能给我一点勇气，一次又一次地迅速结束，我对家人的肆无忌惮的伤害真的让我受够了，肆无忌惮的伤害，我去他妈的，我给他们一次又一次的机会，我不想让他们在我死后责怪自己，但他们真的在强迫我，我不想为他们而活，我太累了，谁能和我约会，就这两天，快点。	8
走饭……你说你有抑郁症，所以就想去死一死。我现在很难过，所以我也想去死一死，也想体验一下死是什么感觉，人与人的差距当真比人与狗的差距大啊，我真的是一无是处了	4
这顿饭我真的很难过。我不知道我能坚持多久。如果不是我的父母，我可能早就离开了这个世界。这些天，一切都在向我袭来，我不知道压垮骆驼的最后一根稻草在哪里。我只希望在它压垮我之前，能发生一些事情，让我觉得生活很有意义	3
我想离开这个世界，但当我的父母长大后，他们有了我。我无法想象他们会是白发人送白发人的样子。我不想让他们伤心，我想坚持下去。愿他们身体健康，比大山更长寿。虽然生活很艰难，但人还是要在艰难中找到快乐。[心]	3
有挂念的东西真好	0
有谁能一起烧炭自杀嘛	6
食物太不舒服了，我想离开这个世界，我讨厌这个世界	5
我在等。等我有勇气面对人生 或者有勇气离开人世	3
范不记得我第一次来这里留言是什么时候了，但这应该是最后一次了。我计划和某人一起死吗？	9
当我上高中时，我会买一把刀，我希望我死得更多死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死死	8
这个病还没好，那个病又来，想死不敢死，想到信用卡还没有还完就不敢。	3
如果烧炭不痛苦 那我就选择死亡 我一个人出去旅游一段时间 然后自杀	8
不会死在床上的 会跳下去	7
这世界好没意思，我也好想去死一死	5
昨天没有死，今天喝醉有勇气上吊	10
我今天吃了饭，我去参加跳跃，那天我觉得未来会找到你，我一定没有选择跳跃。	1
葬礼没关系，你告诉我也没关系，但今天不要说你想从一栋楼里跳出来，第二天和你的男朋友出去，他会好起来的，然后今天我告诉你，日子会好起来的，我建议你不要死，你不认为这很有趣吗？我认为这真的很荒谬。	0
最近两年的安排如下：1。去哪里旅行，问问佛，最后看看这个世界。2.返回后，处理所有领带。3.拍一张可以用作肖像的照片。4.深入一片荒芜的沙漠。5.编辑沙漠前最后一个城市的说明，并定期发送给大C。6.最后，踏入沙漠深处，努力应对脱水性休克或出血性休克。	8
如果你在八月仍然有这种美德，那就另辟蹊径吧。如果你对十月的另一条路感觉不好，就去玄武湖跳吧	8
我准备自杀了，遗书已经写好了，日子已经选定了，你想在一起吗？	8
割腕很痛。	9
香港金融危机有人烧炭，很多，那个比较靠谱？	7
我真的很想明天上班时从公司的8楼跳下来。。。。。他们离开后。。。。。。但我担心他们可能会有阴影[不满]	9
我自杀过两次，但从未死。割我的静脉不是一个好的解决办法。我仍然想再次死去。如果这次我不能死，我会活得很好	9
想自杀的可以约我。这一生彳亍独行，希望死有人陪。	6
好想离开这个世界。好累，	4
我真的觉得好笑 今天遇到点事情嘴里喊着要跳楼 明天遇到开心的事情 就想振作了好好活着了。我真觉得对于我们听到真是嘲讽。	0
中考考试成绩还没出来呀 可是分数估了 450左右吧 大家都说考二中要470呀 差了那么多分 大概是考不上了吧 我的妈妈开始永无止境的责怪我 但是她不知道 我真的有努力了啊 虽然不像好同学那么刻苦 可是我真的也认真了啊 妈妈总是说让我混吃等死 但是她不知道呀 我有多么想离开这个世界呢 我也好想走呀	5
食物，挂起来很不舒服。	10
是的，当时和某人聊天，如果你的孩子自杀了，你会怎么做？我说我会安慰她，然后我问他，如果他不想说你的父母与你的孩子有沟通问题，他们不值得他们的信任，为什么会在他们心中产生一种告诉父母他们不相信，但他们会愤怒甚至嘲笑，你小时候不能自杀，你后来在社会上怎么样？哈哈哈。	0
我们要一起倒下。	2
为什么在世界意识到之前没有人和我一起离开	5
我也是 想去死一死。	4
喝醉真是太好了。站起来为某人送行最后一程。那人死了，随风而逝	1
并不是说我想熬夜。我希望我能睡24小时，这样我就不会感到任何疼痛。即使我做了植发手术，我也可能活不到那时	2
高中入学考试的成绩还没有出来，但估计成绩约为450分？每个人都说第二次高中入学考试有470分。如果还有这么多分，他可能无法通过考试。我母亲开始不断地指责我，但她不知道我真的很努力。虽然我不像一个好同学那样努力工作，但我确实认真对待它。妈妈总是说我要混在一起，等到死，但她不知道我有多想离开这个世界？离开。	5
我渴望在25岁或27岁时实现死亡的梦想，这只是我20年来最幸福的童年之一，我可以给他们美好的童年。没有什么能让我怀旧，以前当你打架时，我不想为家人而死，现在我发现家人不爱我，我没有什么怀旧，我只需要完成我想做的事情就可以走了	8
第三次割腕	10
今天中午我不小心遇到了她，在我身边走了不到一米，我甚至不敢盯着她看，但在我经过的那一刻，我几乎无法呼吸，心跳立即加速，我觉得自己要死了的那一刻，真的很痛，我想离开这个世界，再也不想离开这个世界了，因为我想让她认识她，然后离开。	5
她一定想到了这个。但人类的痛苦已经到了极限，真的没有办法。我要死了，别担心太多。我什么都不想要了。我为我活着的母亲感到难过。当时，我很小，我的生活是多么的温柔！我听到的反应是：原来大学的压力也这么大？现在发现，人们怎么可能仅仅因为大学的压力而死亡？以前可能很好，但因为有一段时间不清楚。	5
在楼顶想了很多种死去的方式	7
一起离开吗？我在湖南常德。	6
饭，好奇怪啊，明明今天和旧同事吃饭吃得挺开心的，大学同学也找我聊天了。但是半夜的我觉得很伤感，怎么会这样呢。明明今天的一切都还好但是就是觉得很悲伤很悲伤 甚至产生了一种想要高空坠落的想法，为什么呢	9
我不认为我要去死是自私的想法，我受够了这人世间的冷漠，我每天都在拼命的挣扎，努力的生活，我这一生对得起自己就好了，我想要去死的原因是因为父母，因为陌生人，因为家庭，因为友情，爱情，我想让他们愧疚，我要让他们觉得他们对不起我，我要让他们体验我的痛苦	5
吃药真的可以治好抑郁症的话，那为什么还会有那么多人选择自杀	1
我已经两三天没吃东西了，但我不敢向家人求助。我终于借了一些钱，炒面用完了，却发现我吃不下了。我必须在几天后回到军队进行体检，我只想离开这个家庭	1
最好在一个美好的早晨上吊自杀。	8
你们都需要好好生活。重复学习之后，我将无法再进入大学。我应该去跳楼	8
你看窗外多美啊 我们一起跳楼吧	7
打开微信，一切都在敦促我，一个接一个的电话，我不想接听，我发了一圈朋友说我厌倦了睡觉。关掉电话。事实上，他们不理解抑郁症，有些人仍然说我是个懦夫。啊，我最大的错误是寄了自杀信，下次我死的时候，我就不会那么愚蠢了。我会平静地死去。	9
最近绝食，一整天我一动不动地躺在床上近半个月，我不想和我妈妈或妹妹说话，所以我也不想吃东西，但我仍然信守洗碗的承诺，每天晚上9点洗碗，今天是绝食的第三天，我的腿疼，第二天洗碗时我不起床，我觉得我的腿一直在颤抖，我感到悲伤和愤怒	2
你真的不能活下去了吗？有人愿意和我一起自杀吗？	6
明天找地方跳楼	9
有时候是真的不得不去想怎么个死法才能不痛苦，感觉自己没几年好活了，尤其是这几天，真它丫丫的痛苦，有时候想得挺开的，不就是没得吃好吃的玩好玩的嘛，不就是早死晚死的问题嘛，人一没，这些啥都不会多想了。其实我挺矛盾的，不想死又有不得不早死的理由，真是难为我这个对生活乐观积极还爱笑的人	4
大米，挂得很糟糕	10
如果每个人都死在一起就好了，	5
