comment	myLabel
走饭，你走了以后闹得这么大，咱俩应该没机会再见了。我本来决定在元旦时结束自己的，不过现在来看，可能会早点。	8
我已经在给自己请假期了，等假期结束我也就结束了。希望我离开的那一天天气能够好。	8
我的一切都已经布置的差不多了 等着这个月的15号 希望那日可以阳光明媚	8
看完你的留言，我都放弃原本想在生日那天的计划，提前做了准备，安，再见了。	8
其实我一直都在等待着这个时刻 每天深夜 打开剂量计算器 算好剩下的时间 晚安世界	8
还有三天我就要走了，如果有人在那天发现我的留言，请告诉我的家人，我是愿意走的。	8
这个世界上再没有什么让我留恋的了 只是希望能在没有疼痛的情况下离开 看样子离那个时刻不远了	8
曾想着在大雪纷飞的冬夜离开这个世界，但是看来好像要提前了。	8
我下个月就二十岁了，也是我离开这个世界的时间，希望我离开的那一天能晴空万里。	8
采购的东西已经备齐了 已经选好了地点 接下来只需等到那天了	8
看完你的留言后，我决定提早结束这一切痛苦，希望我们在那边还能有机会相见。	8
我已经提前安排好了，马上就要离开这个世界了，这可能是我最后的留言了。	8
我有个约定，下个月的十五，我可能会和你一样选择离开。	8
对这个世界没有期待了，下午我就会结束这一切。	8
设置了定时发送给我家人的文字 那天如果他们收到了 那时的我可能已经不在了	8
好吧，看来我是时候和这个世界说再见了，我的离世之日就在不久之后。	8
其实我已经选好了事情的日期 项链也已经准备好 只是希望那天能是个好天气	8
我还没有找到合适的时间 这个月的月底 应该是我最后的期限	8
我将在生命的书本上画下句点，具体的日子已经定好，只是等待那一天的到来。	8
我已经开始清理我的一切，毕业后回家，我将离开这个世界，只是时间的问题。	8
在6月30号那天，我要款待朋友们做最后的告别。然后，我会默默离开，去我已经找好的地方，准备无声无息地消逝。	8
我已经买好了安眠药，把所有事情都交待好，打算在明年我母亲的生日那一天离开，我不想她再因为我而伤心了。	8
我每天都在计划，就在今年的冬天，在大家都睡沉的时候，我会很安静的走掉，不打扰任何人。	8
这个月就要放暑假了，我也会永远的放假，回家一趟，慢慢和我爱的人告别，然后选择一个没有人的地方，安静的结束一切。	8
我打算把手头上的所有事情都处理完，向所有的人告别，计划在下周一结束自己的生命，我希望没有人会为我难过。	8
我已经给自己的生命设定了计时器，冬天来临的那一天，我会选择安静的离开这个世界，不会给任何人带来困扰。	8
我会在自己的生日前一天，做好所有的准备，然后在那天安静地离去，只希望在我走后所有的人都能够继续过上快乐的生活。	8
我决定，明年春天刚开始的那一天，我将一切都安排妥当，覆水难收，我的离去，始于春风，望所有人都能够释怀。	8
你们知道嘛，我已经买好了一次性铝炭炉和无烟炭，打算在月底的某一晚上悄然离开。	8
自己选择的路，决定在今年的国庆节之后去实现，然后再悄无声息的离开，希望没人会注意到我跟以前不一样。	8
昨晚把自杀信写好了 就等这个月的月底 妈妈说那天她有个大会 顺便我也离开这个世界就好	8
我想过许多次了，今年的情人节我计划去一个没有人，但是能看到美丽星空的地方，我将在那结束我的生命。	8
13.我的钱已经准备好了，让家人无后顾之忧，我的衣物准备好了，下周就是凡人们的国庆，我只希望他们过得开心就好，我……也一样。	8
14.这个世界再怎么美好，也逃不出人性的恶我决定了在春雷初鸣的日子，捧着我最喜欢的诗书，离开这个世界。	8
15.这一切都已经安排好，只需要在半月后月圆的日子里，离开就可以了。	8
每天都在疲于奔波，疲于应对。我希望在今年的冬天里可以永远离开这个世界，也许楼顶的风景会好一些。	8
每天都在争吵和痛苦中度过，我真的没法再接受了，我想在不久后去见天国的那个人。	8
今年夏天我在考虑，冬天的铜雀台不能没有我。选择自杀的日子已经慢慢接近了。	8
白天总是抱着自己嚎啕大哭 晚上醒来胸口痛得无法呼吸 不如再过2个月就结束了吧 也许最舒适就是带个笑容离开	8
从去年开始我已经计划此事，每天盼着今年冬天的到来，那时我就能挣脱痛楚了。	8
王府井的天台是个好地方 听说跳楼速度比较快 我已经开始规划好了 在秋天的时候应该就可以解脱了	8
望着繁华的都市人流，我再也找不到生的勇气。我计划好了，在周末的时候结束自己的生命。	8
最近我逐渐变得不爱说话，不爱和人接触，我已经开始决定我的离世日期了，大概在下一个月。	8
我已经开始网购安眠药，环太湖应该是个好地方。今年夏天的时候，我应该就此离开了。	8
我总是无法控制自己的情绪，我已经计划好了，在大年初一结束这个累赘。	8
走在这条熟悉的路上我有无数次想要结束自己的生命，我已经计划好了，新的一年，我会结束这一切。	8
其实我一直在寻找自杀的最佳方法，为了避免被打扰，我选择去乡下，今年冬天，也许是个好时间。	8
每天都在想象自己如何自杀，这各种各样的想象已经开始让我上瘾，我选择在10月的时候，结束这个无聊的游戏。	8
我已经决定好了 今年的清明节 我要和父亲一起过 我已经开始计划这个自杀计划	8
静静的看着蓝蓝的天空，仿佛能看到那片我向往的天堂。我已经决定在今年的国庆节，完成我此生的愿望。	8
我一直都在计算剩下的时间，我希望在今年的中秋节，跟这个世界道别。	8
每一次失眠的夜晚，我都会想到自己的死亡。现在已经在计划了，就在明年的新年。	8
这一生的痛和苦我已经无法再接受了，我希望在今年的平安夜，结束这一生。	8
我现已开始计划如何离开这个世界，选择生日那天，这一生的结束也该打个完美的句号。	8
望着这个世界，再没有任何感觉。我在计划好了，不久的将来，我将离开。，今年生日之后，我希望消失在这尼泊尔的雪山里。	8
让我再经历一次生日，19岁那天，我会选择一个安静的夜晚，像平常一样安详的去睡觉，只是这次可能就再也醒不来了。	8
新年夜，当所有人都在欢呼庆祝时，我会享受这个最后一刻的孤独，新的一年我不会在这个世界上了。	8
我对我自己讲，再熬两年，27岁的时候，我就结束这个痛苦的生活，如果到时候我依然无法寻找到生活的希望，我就选择离开。	8
还有一年就毕业了，毕业那日，我会离开。毕业典礼上的所有庆祝，对我来说就是最后的告别。	8
今年的农历新年我会和家人团聚，有面子，吃好的，也会开心，大家都快乐的时候我会选择挥手告别。	8
只差两个月就满25岁了，我告诫自己一定要撑过去，那天我会选择离开。这个世上没有什么值得我留恋的了。	8
今年的情人节我会彻底结束这个痛苦的世界，没人关心，不会有人在乎我的离去。	8
