comment	twoClass
那也要拉着你们两一起死	1
烧炭还是上吊	1
饭。好想她能回来。虽然现在的我一无所有，但是我已经计划好了。昨天哀求了一天未能如愿。不想再找理由和动力了，好累。看着她的绝情，或许她不会那么伤心。我很害怕去一个没有她的世界，好想见到她。饭，给我点勇气。就是死一死没什么大不了对不。煎熬和挣扎太难受。我们相见的时候我能抱抱你吗。	0
兄弟，割腕死不了，还很痛的	0
有约烧炭自杀的吗？	1
昨天吞了80多颗药想自杀 快晕的时候被发现了 送去洗胃 生不如死 还不如直接死了算了	1
到底要再经历过多少次难过，才能攒足离开人世的勇气呢？希望这一天早点到来吧	0
即使在冰天雪地的人间是否能生存，在茫茫人海中沉沦，隐藏孤单的心，拥抱是否能够取暖，死亡并非结束，而是在另一个世界重新开始，孤单，孤独，孤寂，无法理解，心底有一个声音在牵引这我，我的理智有限，我快控制不住这个恶魔了，他在一步一步的引导我去离开这个世界，	0
我不要再活着了 他们明年离开这里 就我自己一个了 我没有生存能力 我只有自己乖乖离开这个世界。	0
等上了高中我就去买把刀 希望自己更加死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉死掉	1
割腕	1
自身都难保了，更不想让周围人担心我，跟着我一起，	0
不。我想和他一起去死的那个人，已经死了。	0
我准备写遗书了	1
这个我也想过，没有房梁，你怎么操作的，我挂不上去。上吊做不到。我们老师还警告我们不要随便自杀，因为有人试过在宿舍自杀了，这样的。说影响别人，只是我知道在死之前都不会有人在乎那个人如何如何。	1
再这样下去，我真的去跳楼了	0
跳楼最不痛苦	1
有没有一种死法，死了还可以保证器官都能捐献	1
不想去医院不想吃药不想见任何人只想去死	0
没有太大感觉，只是很没有意思，我睡不着，很无聊，我才不会想去死一死，真的没有	0
香港金融危机有人烧炭，很多，那个比较靠谱？	1
想死又不敢死，真的好痛苦，谁能帮帮我吗	0
我去跳楼啦 拜拜啦走饭。	1
跳海不是个好死法换个吧	1
饭，他们都觉得我是神经病不正常的人，是啊融入不进这个奇怪世界，本就不属于我，上吊会不会好一点或者是安眠药，在撑到九月份吧，完成一个小心愿再离开，或许这个心愿也会被他们否定甚至骂我	1
跳楼的话会不会更直接	1
刚开始那几天我有想过我不想毁了她取而代之我只想抱着你一起去死现在反而觉得无所谓了反正罪都是我自己找的我就熬着吧	0
饭，此刻最想做的事情就是跟你一样死一死，感受下死亡的感觉，或许这样就不容易被影响吧[泪]	0
不知道自己最近怎么了，总想从楼上跳下去，想拿刀切开自己的血管。我有自己爱的人，有牵挂，可是就是控制不住自己。我该怎么办？！！	1
跳楼很惨	1
一群矫情的不要不要的人 想死就去死啊 一群懦夫只敢在这瞎BB 没勇气去死就好好活着	0
你看你可怜的一面总是被人看到又怎么样	0
对不起 突然有想割腕的想法 我知道这是错的 可是感觉越来越强烈 对不起	1
想自杀的时候脑海里总是会浮现父母晚年迟暮精神状态越来越差直到有一天再也没有醒来几个月后警察破门而入发现尸体已经被老鼠啃的稀巴烂的画面然后安慰自己再等等吧等赚够了养老的钱再死吧	0
这世界好没意思，我也好想去死一死	0
哎 离开这个世界对我是解脱啊	0
办公室在12楼，每次走到窗边，都想跳下去[悲伤]	1
饭，跳楼的一瞬间会很疼么	1
我终于懂了为什么很多人喜欢割胳膊了。。。因为没有手指那么疼[允悲][允悲]不过。。我啊。。哪里都喜欢	1
等我回过神来，哦，不在了，能将你轻轻放下就好了 我这样想了很多年。但我这个人身上没有奇迹。把我丢到沙漠我不会找到绿洲 扔进海里我不会抓住浮板 任何绝境我都不会生还。你的皮肉是会熔化我的岩浆 骨架是会活埋我的雪山看清了心惊肉跳 逃都为时已晚 只有灰飞烟灭才可佯装从未到过你身旁。 ???	0
烧炭慢，我建议跳楼，我心里最佳死亡方式，不回头，越高越好，可能会犹豫了，可是死了比活着好。	1
现在想死于非命	0
我不认为我要去死是自私的想法，我受够了这人世间的冷漠，我每天都在拼命的挣扎，努力的生活，我这一生对得起自己就好了，我想要去死的原因是因为父母，因为陌生人，因为家庭，因为友情，爱情，我想让他们愧疚，我要让他们觉得他们对不起我，我要让他们体验我的痛苦	0
遗书都写好了呀...	1
活到现在好累啊...完全不知道自己是为了什么活到现在...完全不知道自己活着有什么意义...想要离开这个世界...但我又感觉我现在...还不能死...真的好累啊...[悲伤]愿生活还能带给我希望	0
我也想死一死 可是没有勇气。	1
反正这个世界上也没有哪个人在乎我，早死晚死都一样罢了。那还不如早点去死，省的在这给人添麻烦	0
我把遗书写好了	1
哈哈哈哈，我撑了6年多，我工作了，但是我感在一个地方住太久，我怕跳下去，所以我有着搬家。我还养了一群动物。我跟我自己说把他们养大你就可以解放了。我只能这样子，因为我怕我跳下去他们会受?了。还要被指指点点。	0
饭啊 其实12年前 我就已经在水深火热之中 初中三年我过的异常痛苦 无奈 每天都想着死 我对家人 朋友 男朋友说我想去死 他们都说我有病 我确实有病啊 那三年是灰色的 尽管我熬过来了但在大学里彻底爆发 停学一个月专注治疗 每天吃着大把的药 整个人恍惚到极点 幻觉 幻听 恶心 呕吐 我以为会死	0
焦虑地连一点声音都让我恐惧 很想跳下去	1
我又想去死了，也不敢和别人说	0
我很快 可能也要离开这个世界了吧 攒够失望	1
约死么，坐标深圳	1
走饭啊，你见到今天长空栈道跳下去的那个男孩子了么？我也松开过绳索，可是我不敢跳。走饭啊，你说跳下去的那个男孩子会开心会解脱嘛…	0
饭啊，我好傻啊，为了得到朋友同学的关注，我甘愿做跳梁小丑，到头来却成了笑柄。朋友同学我接近不了，家人我厌恶至极，陪伴我的猫也离我而去。想哭却又哭不出来，我连哭的权利也没有了，这样的人生，我不要也罢，可事实摆在那里，我必须得接受。饭呐，我何时才能见到你？	0
没事没事不过是想离开世界了哈哈?	0
还说大不了一起死	0
这个世界一点也不适合我生存，想去天庭	0
