comment	twoClass
哇 我真的好想去北欧啊。就想离开这个国家。。。离开这里才能不会想起。可是看我这生活自理能力和一天到晚的被迫害妄想症……怎么出去呢。	0
家里都没有方便我上吊的地方	1
我就是觉得太累了，没什么重要的原因，我也想去死一死	0
我也准备离开了，不过不是抑郁症，是肺癌加甲状腺癌，双保险[笑cry]希望有缘遇到你[嘻嘻]	0
那个 山东的 有一起的吗	1
他说我拿着手机不知道在跟谁聊天，说我大晚上和别人玩游戏都是不正经的人，哈哈，和我玩游戏的是你最喜欢的孩子哦，动不动就骂我一下你很开心是吧，你知不知道你的女儿想你去死呢嘻嘻，你说过我心理不正常，说我以后会成为社会上的败类，嘻嘻，拜你所赐呀	0
走饭啊，我，也很想自杀，虽然没有抑郁症那么严重。可我觉得我也差不多了。我觉得自己活着很多余，而且很恶心，人还没出息，死了或许很好。可真的很烦那些叫我不死死了就跟我一起去的的。但为了她们，我还是一天熬过一天地过日子，表面嘻嘻哈哈，其实，已经越来越觉得没力气了…	0
有那么一段时间朋友圈转发一个女人跳桥死了的事，我好羡慕，但是那段时间我又很害怕桥，我不敢靠近桥，我怕我自己也冲动跳下去！	1
每当这个时候 我就想跳楼	1
饭，有人让我活下来，有人问我要不要一起死,你说呢。	0
约死嘛	1
我也 希望客死他乡	0
我的病我好像控制不住了，我想告别我所有的朋友，然后独自离开这个世界。	0
今天战胜了自己深夜无眠觉得唯有一死的幻想，出门没有去找高楼，而是分析了脑子里酝酿了无数遍的那个死局，一天都在奔波寻求解决，虽然还是很有可能最后失败，但最起码说明最差的一天也不是完全无解的，活到明天，谁知道会怎么样呢。从蜜罐扔进冷水缸，从坠崖一半被提起来，生活就是这么抽象	0
我在好好工作好好生活了 努力积极向上 也谈了男朋友 可是我更累了 我依旧抵挡不住它的来势汹汹毫无征兆 能够瞬间摧毁我的 还是抑郁症 时隔半年 现在我还是好想打开窗跳下去	1
大夫反复问我有没有自伤行为，我没有，但我真的想去死一死，真的好难受	0
今天才在书桌前贴上了西政的目标，可是因为一件小事，或许它不是一件小事，想要去死，如何才能轻轻松松的死掉，如何才能无声无息的告别世界	0
从单相到双相，药量加加减减，因原生家庭导致的抑郁，却也得不到他们的重视，不想向关心自己的朋友们散播负能量，心理医生感觉也是治标不治本，我也好想离开这个胜似地狱的世界。	0
可是我好难受好难受我不是想死	0
别这样，暂时还不会走，我在等一个跟我约炭的朋友	1
你还是适合直接跳楼	1
晚安	0
不如所有人一起下地狱吧	0
什么时候抱怨一句成为和妈妈争吵的开端，活着真的好累根本没有盼头。三个人一起去死掉算了	0
如果没有爱的人、估计我们早都离开这个世界了	0
再等一等好吗？想象的解脱并不是真实的 是你想的	0
明天我替大家试试烧炭感觉如何	1
今天没跳，我再想想，没想好带着孩子一起走还是我自己走	1
我真的不知道在这个世界上还有没有可以让我靠一靠哭一哭的地方 也不知道世界上还会不会有人愿意无条件听我倾诉。好像没有一个地方我可以驻足。我一直在被逼着前进 但是前面不是未来 我能看到的前方 是我离开世界的那一刻	0
真的会想要不去死一死	1
2个月没来，这里还是这么火热，想对所有有自杀倾向的说一句，既然死不了，活着顺既然没勇气自杀，不如多去想想美好的事情，有空多去看看搞笑的视频，或者笑话，偶尔给自己心灵放放假，这样一切都会变得更加美好	0
离开他，离开这个世界	0
我的妈妈 她担心我 我知道 可是我的心理承受能力很强的呀 不然我早就跳楼了 我讨厌她 讨厌她一直管着我 暑假不想回家就好像天塌了一样 讨厌她总是打电话给老师和辅导员 我真的 我只想一个人 我讨厌那个家 我想逃 逃不了	0
约个时间 我们一起死一死	1
我觉得我还能坚持一个月吧，我才发现自己的房间很适合烧炭，虽然这样会死的很难受	1
写好遗书了，	1
饭，我第一次给你留言撑不住了，生活太难了。我从来不奢求舒适的生活，我想做我喜欢的事。可是后来我发现，无论多平淡的生活我都能找到自杀的点，再也没有我喜欢做的事了。我一定是最令人失望的。我有的只是日复一日的精神折磨，我什么都没有。我想撒手离开，什么都不要，自己也不要了，就这样走吧。	0
我还没有足够的勇气去死 顾虑有好多 也可以认为是我还不敢去死我是觉得死后要被亲戚朋友议论 被我的大人们说是我矫情身在福中不知福玻璃心才去死的 我就很难过 把我的死都归咎于我身上 他们可能根本就不懂我死了很大原因是因为他们 太难了 活着很难去死也很难	0
那天站在窗口 好想跳下去 原来那一刻是这样的感觉 你不会顾忌你平时顾忌的后果 父母 伴侣等等 你只是在压抑那个冲动 有个声音在说 跳吧 跳了就一了百了了 当你回顾这一生 全是灰色的 全是不开心 这样的人生有什么好留恋呢	1
所以我要跳我一定不让他们看见，他们要是让我跳我跳了就好像顺了他们的意思，mmp老子跳不跳他妈关你们屁事??	1
要一起吗	1
等再存点钱给父母再离开人世吧。不能看着两老离开我的那天我比他们先离开吧	0
小饭。我第一次在你这里评论。我活的好累。我也想去死一死。每天装开心真的很累。	0
想死 想跳楼 但想想为了她好像不值得	1
可以，一起，私信	1
我为什么一个人待着的时候就想去死	0
想逃离这个世界，可是没勇气，要去山间与世隔绝	0
和他分的第二天我割腕了 三刀 压根没卵用 现在左手留着三条线	1
辞职了，发现自己什么都不想做，只想去死，昨天跟我爸说华山跳崖的那个人，我爸说和他相比我还在坚持着，心里又酸又难受，我对不起我爸。	0
有没有一起的	1
一个月总有那么几天想去死一死	0
刚才坐在他车上 他下车抽烟 突然就冒出了想跟他一起在车上引碳自杀的念头。。。时间都能停留在那一刻就好了	1
